code	assign1	assign2	assign3	assign4	bonus4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	final	total	grade
52940	14	12	10	12	0	15	11	9	0	0	5	0	48.80%	62	59	55.53	1
53161	19	18	18	18	0	18	17	18	28	0	4	0	90.60%	87	81	86.04	3.2
53680	14	19	9	18	0	18	16	16	27	0	5	0	80.60%	40	61	64.64	1.7
53749	18	17	18	18	2	20	14	18	26	2	2	0	90.00%	96	91	91.6	3.6
54322	15	14	16	17	0	18	14	17	26	0	2	0	80.60%	90	96	88.64	3.4
54411	16	19	8	15	1	18	18	14	28	0	5	0	80.60%	95	96	89.64	3.5
54418	15	17	17	16	0	18	15	18	29	0	2	0	85.30%	88	98	90.92	3.6
54507	16	17	19	19	1	20	16	18	30	2	1	7	94.30%	99	90	93.53	3.8
54928	19	17	17	17	0	18	18	17	29	2	4	5	91.60%	85	92	90.43	3.6
54996	19	17	19	17	0	19	16	17	29	0	4	6	91.20%	79	22	61.07	1.4
55209	19	15	19	17	1	20	18	19	27	0	3	7	92.50%	97	89	92.02	3.7
55731	20	20	19	18	1	17	19	19	30	2	0	0	97.10%	96	96	96.42	3.9
55826	16	18	17	19	0	18	18	19	27	2	5	0	90.60%	68	76	80.24	2.8
56044	18	17	17	16	0	15	14	14	28	0	3	3	82.40%	81	71	77.54	2.6
56151	20	18	20	18	0	18	19	20	29	2	0	0	96.50%	90	99	96.19	3.9
56186	16	13	15	15	0	18	15	9	27	0	5	0	75.30%	80	59	69.72	2.1
56714	20	19	17	17	0	18	18	17	29	0	3	0	91.20%	93	98	94.27	3.8
57200	14	15	20	17	1	20	18	17	27	0	0	0	87.60%	89	93	90.06	3.5
57305	16	19	19	19	0	19	19	17	27	0	0	0	91.20%	99	88	91.47	3.6
57426	19	17	18	17	0	18	16	16	27	0	5	0	87.10%	77	48	69.42	2
58067	12	17	19	18	0	17	15	16	24	0	3	0	81.20%	84	74	78.87	2.7
58349	5	7	6	2	0	3	2	7	6	0	4	0	22.40%	85	59	49.54	0
58352	19	18	18	20	0	19	17	17	30	0	5	0	92.90%	84	91	90.38	3.5
58611	15	18	17	16	0	16	16	16	29	0	5	0	84.10%	79	72	78.25	2.7
58674	16	17	15	16	0	18	17	20	29	0	2	0	87.10%	88	75	82.42	3
58762	18	17	17	18	0	17	17	18	28	0	4	0	88.20%	77	85	84.69	3.1
58903	18	18	15	19	0	19	20	18	29	0	1	0	91.80%	87	97	92.91	3.7
60745	19	13	16	15	0	15	16	19	26	0	5	0	81.80%	66	61	70.31	2.1
61065	18	17	18	19	0	18	17	17	26	0	1	0	88.20%	90	88	88.49	3.4
61143	19	20	19	17	1	18	19	20	27	0	4	2	94.50%	97	98	96.4	3.9
61164	16	17	16	17	1	18	18	17	26	0	2	0	85.90%	97	101	94.15	3.8
62260	14	11	7	6	0	3	0	0	0	0	5	0	24.10%	61	39	37.45	0
62356	20	17	16	17	0	17	19	18	21	0	1	5	86.30%	88	80	84.11	3.1
62422	14	15	18	17	0	16	15	15	28	0	3	0	81.20%	77	91	84.27	3.1
62575	19	16	16	18	0	18	19	17	27	0	2	0	88.20%	74	84	83.69	3.1
63097	19	20	8	11	0	15	13	18	28	0	5	0	77.60%	67	70	72.46	2.3
63125	19	19	19	18	0	16	8	16	21	0	5	2	80.40%	94	86	85.36	3.2
63136	18	18	18	18	0	17	17	17	24	0	5	0	86.50%	63	83	80.39	2.8
63949	19	16	16	16	0	15	18	18	29	0	4	0	86.50%	88	96	90.59	3.6
64234	16	17	18	18	0	18	20	17	29	0	2	0	90.00%	81	90	88.2	3.4
64394	20	17	19	20	0	19	17	20	29	0	2	0	94.70%	94	100	96.68	4
64431	9	13	8	7	0	14	20	16	27	0	3	0	67.10%	67	65	66.22	1.8
65077	19	19	19	19	1	20	18	19	30	2	0	7	99.00%	99	97	98.21	4
65528	18	17	18	15	0	16	17	17	25	0	3	1	84.30%	74	89	84.13	3.1
66094	18	18	18	17	1	15	17	16	30	0	1	0	88.20%	96	87	89.29	3.5
66232	18	16	18	18	0	13	17	18	30	0	0	0	87.10%	69	51	69.02	2
66583	17	15	16	15	0	17	16	17	29	0	1	0	83.50%	83	60	74.01	2.4
66796	18	16	17	15	0	17	6	9	6	0	5	3	61.80%	66	83	71.11	2.2
67636	16	16	17	19	0	19	19	17	29	0	0	6	90.60%	75	63	76.44	2.5
67830	17	18	15	17	0	19	16	17	27	0	0	0	85.90%	94	74	82.75	3
67992	18	18	19	17	0	16	19	14	28	0	5	0	87.60%	84	79	83.46	3.1
68019	19	18	17	20	2	20	20	20	30	2	0	3	99.40%	87	100	97.16	4
68083	16	15	17	18	0	18	17	17	26	0	5	0	84.70%	86	83	84.28	3.1
68408	19	19	19	20	0	20	17	19	18	0	4	4	89.60%	89	77	84.44	3.1
68474	18	17	19	18	0	18	16	17	29	0	5	6	90.60%	97	93	92.84	3.7
68499	20	19	20	20	0	19	20	20	29	0	3	0	98.20%	83	77	86.69	3.3
69795	18	19	16	20	0	19	16	15	26	0	0	0	87.60%	80	76	81.46	2.9
71127	9	11	2	6	0	13	16	15	17	0	4	0	52.40%	77	54	57.94	1.2
71441	19	16	7	12	0	15	14	0	0	0	5	0	48.80%	92	87	72.73	2.3
71476	19	19	13	12	0	19	16	15	0	0	5	0	66.50%	80	62	67.39	1.9
71624	13	19	16	13	0	16	16	16	28	0	5	4	81.40%	69	63	71.55	2.2
71947	6	15	8	0	0	8	15	10	20	0	5	0	48.20%	51	48	48.69	0
72554	19	17	19	18	0	20	17	18	26	0	3	0	90.60%	80	88	87.44	3.3
73072	20	17	20	19	0	20	17	15	30	0	0	0	92.90%	99	94	94.58	3.9
73163	15	13	11	11	0	1	11	9	0	0	5	0	41.80%	40	40	40.71	0
73428	18	16	12	14	0	14	15	17	25	0	5	0	77.10%	83	74	77.02	2.6
73458	15	17	18	19	0	18	20	19	30	0	4	0	91.80%	84	101	93.91	3.8
73491	18	20	18	18	0	20	15	15	29	0	5	0	90.00%	85	73	82.2	3
73938	18	12	17	14	0	16	17	15	27	0	5	0	80.00%	59	83	77	2.6
73981	18	20	18	16	0	20	20	16	29	0	1	0	92.40%	88	100	94.54	3.9
74350	19	19	16	18	0	20	19	15	29	0	0	0	91.20%	83	66	79.47	2.8
74419	18	18	18	19	0	19	16	19	30	0	2	0	92.40%	79	85	86.74	3.3
75157	16	17	18	13	0	15	17	15	26	0	5	0	80.60%	78	55	69.84	2.1
75471	18	17	15	18	0	19	17	17	28	0	0	0	87.60%	76	65	76.26	2.5
75727	19	13	7	7	0	17	7	13	0	0	5	0	48.80%	61	38	46.93	0
75933	16	17	19	18	0	17	18	15	23	2	3	0	85.30%	95	72	81.92	2.9
75990	18	17	16	15	0	14	14	18	16	0	5	0	75.30%	73	63	69.92	2.1
76856	16	14	11	4	0	9	0	0	0	0	5	0	31.80%	41	17	27.71	0
76863	19	19	20	20	0	20	15	16	29	2	3	9	95.90%	95	96	95.75	3.9
77088	17	14	17	16	0	19	19	18	28	0	5	0	87.10%	82	61	75.62	2.5
77208	18	19	17	17	0	19	20	18	29	0	2	0	92.40%	98	96	94.94	3.9
77243	19	18	18	0	0	15	17	16	29	0	2	0	77.60%	83	81	80.06	2.8
77269	18	15	16	18	0	19	15	14	29	0	3	0	84.70%	85	93	88.08	3.4
77823	15	14	9	14	0	9	16	0	25	0	1	0	60.00%	63	79	68.2	2
78546	18	18	19	20	2	19	20	20	29	1	4	0	97.60%	85	92	92.86	3.7
78677	16	0	0	0	0	0	0	0	0	0	2	0	9.40%	29	0	9.56	0
79916	18	17	19	18	0	16	12	14	28	0	5	0	83.50%	73	53	69.21	2
80056	19	17	17	16	0	15	20	19	24	0	5	0	86.50%	82	87	85.79	3.2
80094	16	12	15	10	0	6	12	17	21	0	5	0	64.10%	66	71	67.25	1.9
80149	19	17	18	17	0	17	17	17	30	0	0	0	89.40%	82	86	86.56	3.3
80295	18	16	18	14	0	18	17	17	28	2	3	0	87.10%	75	89	85.42	3.2
81233	19	19	15	17	0	19	16	18	29	0	0	0	89.40%	80	60	75.76	2.5
81313	18	18	15	16	0	17	13	18	25	0	2	0	82.40%	75	74	77.54	2.6
81389	15	17	17	17	0	12	16	14	24	0	3	0	77.60%	57	48	61.66	1.5
81513	15	15	19	15	0	12	14	14	22	0	5	0	74.10%	80	54	67.25	1.9
81553	18	17	19	18	0	20	17	19	30	0	3	0	92.90%	77	77	83.38	3
81611	19	17	17	18	0	18	20	20	29	0	1	9	94.70%	86	50	75.08	2.5
81702	19	18	20	19	0	18	17	19	29	0	5	1	93.70%	65	92	87.29	3.3
81902	20	18	18	17	0	19	16	15	29	0	5	0	89.40%	74	56	72.96	2.3
82349	20	20	19	18	2	18	19	19	28	2	0	0	97.10%	99	95	96.62	4
82607	17	14	11	8	0	6	0	0	0	0	1	0	32.90%	59	25	34.98	0
82733	16	15	19	18	0	19	20	20	30	0	3	0	92.40%	96	84	89.74	3.5
82830	16	19	18	0	0	18	0	0	0	0	2	7	43.10%	81	0	33.45	0
82889	17	17	20	17	0	17	0	14	0	0	4	0	60.00%	78	38	54.8	1
82924	19	20	19	19	0	19	18	17	29	0	2	2	94.50%	93	92	93.2	3.7
82925	15	17	16	13	0	15	15	13	28	0	0	0	77.60%	79	51	67.26	1.9
83273	19	17	0	18	0	18	20	18	30	0	3	2	82.70%	83	96	88.1	3.4
83659	18	18	19	18	1	19	19	19	25	0	5	0	91.80%	73	70	79.31	2.8
83851	18	18	11	0	0	0	0	0	0	0	5	0	27.60%	68	30	36.66	0
83947	18	17	19	20	1	18	17	19	29	0	2	0	92.90%	84	86	88.38	3.4
84373	18	19	18	17	0	19	20	19	30	0	0	0	94.10%	77	58	76.25	2.5
84821	19	19	18	20	0	18	19	19	29	0	3	0	94.70%	98	91	93.88	3.8
84822	18	16	0	10	0	14	16	15	30	0	1	0	70.00%	63	69	68.2	2
84881	16	17	18	17	0	16	15	15	26	0	4	0	82.40%	74	87	82.54	3
84910	19	17	18	17	0	9	14	20	16	0	5	0	76.50%	93	63	74.39	2.4
85303	13	16	19	17	0	16	15	16	27	0	1	0	81.80%	53	66	69.71	2.1
85551	17	18	17	18	0	13	14	18	29	0	3	0	84.70%	63	89	82.08	3
85595	17	16	5	15	0	15	14	11	20	0	5	0	66.50%	77	62	66.79	1.9
85813	16	20	20	17	0	15	17	20	26	0	1	0	88.80%	91	81	86.13	3.2
86218	17	18	19	17	1	20	18	20	30	2	3	0	95.30%	94	94	94.52	3.9
86421	15	17	18	12	0	17	18	0	0	0	5	0	57.10%	70	0	36.82	0
86614	20	20	20	19	0	19	18	20	28	0	5	0	96.50%	79	75	84.39	3.1
86798	17	19	20	16	0	19	16	19	29	0	3	0	91.20%	90	96	92.87	3.7
86830	16	14	16	18	0	18	14	17	27	0	5	0	82.40%	72	72	76.14	2.5
86978	16	12	12	17	0	14	8	15	3	0	5	0	57.10%	74	68	64.82	1.7
87152	17	16	17	10	0	19	18	17	29	0	3	0	84.10%	53	49	63.85	1.6
87153	18	18	20	18	0	19	20	18	29	0	0	0	94.10%	95	83	89.85	3.5
87205	18	17	19	19	0	19	17	18	27	0	0	0	90.60%	90	87	89.04	3.5
87223	18	15	18	18	0	17	15	17	28	0	4	0	85.90%	90	79	83.95	3.1
87376	18	18	16	20	0	17	18	12	28	0	5	1	86.70%	80	85	84.67	3.1
87556	16	13	10	14	0	11	12	15	25	0	5	0	68.20%	51	65	63.49	1.6
87821	18	19	8	18	0	15	8	12	11	0	5	0	64.10%	78	77	72.05	2.2
88076	16	19	15	9	0	18	14	14	24	0	5	0	75.90%	53	36	55.35	1
88142	17	15	16	16	0	16	16	16	28	0	1	0	82.40%	86	72	78.94	2.7
88303	19	17	19	16	0	17	17	16	28	0	4	7	89.00%	80	72	80.41	2.8
88371	17	16	17	19	0	19	18	17	26	0	5	0	87.60%	71	74	78.86	2.7
89172	20	16	19	20	1	18	20	19	30	2	2	7	98.40%	84	71	84.57	3.1
89209	18	18	14	19	0	15	9	18	29	0	4	0	82.40%	99	93	89.94	3.5
89867	20	13	19	18	0	18	20	18	27	0	5	0	90.00%	83	78	83.8	3.1
89894	19	18	18	19	0	18	15	14	22	0	2	0	84.10%	75	72	77.45	2.6
89925	19	15	14	0	0	18	18	18	28	0	4	5	77.50%	62	49	62.98	1.6
89967	15	17	18	18	0	16	18	19	23	0	3	0	84.70%	90	70	79.88	2.8
90093	18	18	17	10	0	14	9	20	30	0	5	0	80.00%	77	64	73	2.3
90119	18	18	14	17	0	19	18	16	29	0	0	0	87.60%	74	73	79.06	2.7
90602	18	19	20	18	0	19	15	17	29	0	0	0	91.20%	88	83	87.27	3.3
90759	17	20	18	17	0	17	18	19	29	0	0	0	91.20%	73	71	79.47	2.8
91078	19	19	20	19	0	18	20	18	28	2	5	0	95.90%	73	91	89.35	3.5
91566	16	16	14	10	0	11	0	0	15	0	5	0	48.20%	59	49	50.69	0.7
91573	18	17	20	17	0	18	13	17	29	0	2	0	87.60%	84	83	85.06	3.2
91627	15	18	16	19	0	19	19	15	30	0	0	0	88.80%	94	91	90.73	3.6
91761	19	19	17	15	1	18	20	18	28	0	3	9	92.90%	98	99	96.38	3.9
91892	20	19	18	18	2	20	19	20	30	2	5	9	100.60%	99	93	97.24	4
91949	19	17	18	17	0	20	19	17	26	0	0	0	90.00%	84	101	93.2	3.7
91953	20	18	19	18	0	20	20	19	30	0	0	0	96.50%	100	89	94.19	3.8
91983	19	19	20	18	1	19	18	18	25	0	2	0	92.40%	74	92	88.54	3.4
92045	16	15	14	14	0	16	15	0	29	0	0	0	70.00%	75	59	66.6	1.8
92682	15	13	17	15	0	12	0	0	0	0	5	0	42.40%	57	0	28.34	0
92816	18	19	16	20	1	18	17	18	28	0	0	1	91.40%	85	84	87.15	3.3
92910	16	18	11	14	0	15	15	16	28	0	2	0	78.20%	76	76	76.89	2.6
92917	14	16	16	18	0	19	15	9	24	0	5	0	77.10%	75	60	69.82	2.1
92966	17	17	20	0	0	13	14	17	24	0	5	0	71.80%	60	37	55.51	1
93738	20	18	16	19	0	19	15	18	24	0	5	0	87.60%	68	58	71.86	2.2
93816	19	19	19	20	0	15	16	20	29	0	4	4	93.10%	85	93	91.45	3.6
93838	18	19	19	19	1	17	20	20	30	0	0	0	95.90%	99	101	98.55	4
93993	18	17	18	19	0	19	14	18	29	0	5	0	89.40%	96	70	82.96	3
94572	14	15	16	16	0	16	12	13	27	0	5	0	75.90%	73	74	74.55	2.4
94607	17	13	17	18	0	17	19	16	22	0	1	0	81.80%	82	72	77.91	2.7
94665	18	16	17	15	0	20	15	17	0	0	5	0	69.40%	82	84	77.76	2.6
94737	20	20	19	19	0	18	12	19	29	0	2	0	91.80%	78	75	82.31	3
94767	18	17	20	18	1	18	18	19	30	2	1	6	95.90%	88	89	91.55	3.6
94860	18	19	14	19	1	18	17	19	28	2	1	9	92.90%	94	87	90.78	3.6
94863	16	17	18	15	0	15	12	20	29	0	0	0	83.50%	90	85	85.41	3.2
94897	19	18	18	18	0	17	16	18	28	0	4	0	89.40%	84	92	89.36	3.5
94900	19	18	19	20	1	20	18	20	30	2	5	0	98.20%	87	100	96.69	4
94931	20	17	18	18	0	18	17	18	29	0	5	0	91.20%	81	71	81.07	2.9
95024	16	15	18	18	1	18	16	16	29	0	5	0	86.50%	97	97	92.79	3.7
95535	16	19	18	13	0	18	19	20	29	0	1	0	89.40%	100	97	94.56	3.9
95661	19	17	19	18	0	19	17	19	28	0	2	0	91.80%	56	59	71.51	2.2
95796	19	19	19	19	1	20	19	17	30	0	4	0	95.90%	82	93	91.95	3.7
95857	18	19	20	20	0	19	20	20	30	0	0	7	99.00%	92	92	94.81	3.9
96599	18	18	20	15	1	19	20	17	27	2	3	5	93.30%	84	84	87.73	3.4
96658	17	15	5	16	0	16	6	4	12	0	5	0	53.50%	61	68	60.81	1.4
96662	16	19	19	18	0	18	13	19	28	0	5	0	88.20%	90	74	82.89	3
96820	18	17	14	16	0	0	15	17	24	0	1	0	71.20%	85	73	74.67	2.4
96988	16	17	15	14	0	17	15	18	29	0	0	0	82.90%	87	72	79.38	2.8
97044	14	13	10	16	0	15	15	16	25	0	5	0	72.90%	47	54	60.18	1.4
97392	16	14	16	15	0	17	15	14	27	0	3	0	78.80%	91	83	82.93	3
97883	16	18	17	18	1	17	18	19	25	0	1	3	88.20%	87	98	91.89	3.7
98351	19	18	15	18	0	20	18	18	27	0	5	1	90.20%	94	87	89.68	3.5
98619	17	16	15	15	0	12	14	15	0	0	3	0	61.20%	75	77	70.27	2.1
98674	17	17	18	17	1	17	16	15	27	2	1	0	86.50%	70	78	79.79	2.8
98866	18	18	19	18	0	19	17	19	29	0	4	0	92.40%	71	74	80.74	2.9
99065	16	14	11	15	0	16	13	14	27	0	5	0	74.10%	89	80	79.45	2.8
99375	19	18	20	18	0	19	14	17	28	2	2	0	91.20%	94	81	87.67	3.4