code	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	assign9	section	explore	weekly0%	midterm	final	total	grade
23052	9	15	19	14	17	0	0	3	0	20	0	55.10%	77	28	48.65	0
23089	6	15	18	15	16	15	15	7	12	20	0	79.00%	92	90	85.99	3.1
23159	10	16	14	19	19	16	17	10	17	20	0	89.80%	91	89	89.71	3.4
23177	9	16	0	0	0	14	0	10	16	20	0	48.30%	76	55	56.52	0.6
23180	8	16	20	19	18	20	20	10	18	20	3	97.70%	93	96	96.09	3.9
23209	8	15	17	17	15	18	18	8	14	20	0	85.20%	92	88	87.69	3.3
23279	10	16	18	16	13	16	0	4	11	20	0	70.50%	88	65	71.78	1.9
23572	9	16	20	18	18	19	19	6	20	20	0	93.80%	100	84	91.1	3.5
23666	9	16	20	18	19	17	14	8	14	20	0	88.10%	72	65	75.63	2.2
23691	9	16	20	18	18	18	19	9	20	20	1.67	95.80%	90	90	92.33	3.6
23696	10	16	20	19	18	19	19	9	19	20	0.33	96.20%	98	89	93.68	3.8
23859	10	16	20	19	17	18	19	9	15	20	0	92.60%	94	89	91.45	3.6
23897	10	16	20	16	20	20	18	10	19	20	0	96.00%	96	92	94.41	3.8
23917	10	16	20	17	18	18	18	7	19	20	0	92.60%	94	89	91.45	3.6
23925	10	16	20	17	18	19	17	8	14	20	0	90.30%	89	76	84.34	3
23957	10	16	20	20	18	19	17	9	20	20	0	96.00%	95	98	96.61	3.9
23989	9	14	20	18	16	18	19	8	17	20	1.67	91.30%	94	83	88.52	3.3
24014	7	15	20	18	18	17	17	7	13	20	0	86.40%	94	100	93.35	3.7
24045	8	15	20	17	17	19	17	8	18	20	0	90.30%	93	87	89.54	3.4
24046	9	8	17	18	16	17	16	7	19	20	0	83.50%	85	83	83.61	2.9
24049	9	16	16	17	15	18	7	10	17	20	0	82.40%	98	90	88.55	3.3
24052	10	15	17	17	19	19	20	7	14	20	0	89.80%	97	86	89.71	3.4
24115	9	15	15	18	18	14	17	10	19	20	0	88.10%	92	84	87.23	3.2
24170	9	16	14	17	14	13	15	7	13	20	0.67	78.80%	79	77	78.12	2.4
24171	10	16	20	19	20	20	19	9	16	20	0	96.00%	101	101	99.01	4
24441	10	16	20	20	19	20	20	9	18	20	0.33	97.90%	83	95	93.77	3.8
24526	9	15	20	17	17	0	19	0	0	20	0	66.50%	86	64	69.39	1.7
24592	10	16	20	19	18	19	19	10	17	20	0.33	95.60%	101	82	91.26	3.5
24686	9	16	20	19	20	0	19	10	18	20	0	85.80%	79	75	80.12	2.6
24893	9	16	14	14	15	14	16	8	12	20	0	78.40%	69	57	67.96	1.5
24917	10	15	20	17	20	20	20	8	19	20	0	96.00%	85	83	88.61	3.3
25163	10	15	20	20	19	19	18	0	18	20	0	90.30%	85	92	89.94	3.4
25165	8	15	0	15	9	14	14	6	0	6	0	49.40%	96	55	60.97	0.9
25194	10	16	20	20	19	19	18	8	16	18	0	93.20%	73	57	74.67	2.1
25290	9	16	20	17	19	19	0	8	16	20	0	81.80%	86	69	77.53	2.4
25399	9	13	13	14	13	16	13	5	15	20	0	74.40%	69	67	70.37	1.8
25611	10	16	18	18	17	18	17	9	19	20	0	92.00%	94	90	91.62	3.6
26099	10	16	20	20	17	19	18	10	19	20	0	96.00%	81	85	88.61	3.3
26194	6	16	18	0	13	19	15	0	0	3	0	51.10%	65	7	36.25	0
26252	10	16	19	18	18	19	20	9	19	20	0	95.50%	92	86	90.98	3.5
26394	9	16	19	13	12	0	0	0	15	15	0	56.30%	80	33	51.7	0.1
26448	10	16	16	18	19	0	19	9	21	20	0	84.10%	101	99	93.44	4
26647	10	16	20	18	20	19	17	9	18	18	0	93.80%	73	73	81.3	2.7
26922	10	15	20	16	20	16	19	10	12	20	0	89.80%	97	95	93.31	3.7
26957	8	15	17	18	0	19	15	10	11	20	2.33	76.90%	58	40	58.36	0.7
27115	10	16	20	19	17	18	20	8	15	20	0.33	92.80%	101	99	96.92	4
27254	9	9	19	4	11	0	6	0	0	9	0	38.10%	59	26	37.43	0
27308	9	16	18	18	16	12	13	3	16	20	0	80.10%	67	59	69.05	1.6
27343	10	15	20	20	20	19	19	10	16	20	0	96.00%	101	94	96.21	3.9
27853	7	16	14	16	17	15	16	7	16	20	0.67	82.20%	89	71	79.08	2.5
27861	10	16	18	0	16	16	16	8	12	20	0	75.00%	74	62	69.6	1.7
27961	9	16	18	18	17	17	15	9	13	20	0	86.40%	92	77	83.75	2.9
28078	9	16	15	15	10	9	10	6	17	20	0	72.20%	58	35	54.46	0
28080	9	16	19	20	19	20	19	10	18	20	0	96.60%	83	76	85.64	3.1
28084	10	16	20	20	20	20	20	9	19	20	0	98.90%	96	101	99.15	4
28111	9	16	20	20	18	19	18	9	17	20	0	94.30%	77	42	69.93	1.7
28113	10	16	20	18	15	15	18	9	20	20	0	91.50%	93	83	88.39	3.3
28182	10	13	17	16	10	9	15	8	15	20	0.33	75.80%	87	97	86.5	3.1
28209	6	15	17	5	0	0	0	0	0	3	0	26.10%	48	0	20.05	0
28337	10	16	20	19	19	16	19	9	20	20	0.33	95.60%	92	85	90.66	3.5
28348	9	16	18	17	13	18	17	9	20	20	0	89.20%	82	69	79.68	2.6
28405	9	15	19	19	15	17	16	8	15	20	0.33	87.10%	87	84	85.85	3.1
28466	9	15	0	0	0	0	0	0	20	9	0	30.10%	88	82	62.45	1.1
28499	10	16	20	18	18	20	20	7	15	20	0.67	93.60%	91	89	91.22	3.5
28501	7	15	9	15	13	15	16	4	13	20	0	72.20%	86	65	72.06	1.9
28694	10	15	20	19	18	16	19	8	19	20	0	93.20%	74	68	79.27	2.5
28696	10	15	20	19	16	11	18	9	16	20	0.33	87.70%	70	63	74.28	2.1
28853	10	16	20	19	19	17	1	9	15	18	0	81.80%	41	29	52.53	0
28880	9	15	20	19	20	19	19	10	21	20	0	97.70%	96	0	58.29	0.7
28944	10	16	20	16	18	17	15	8	16	20	0	88.60%	85	74	82.05	2.8
29016	10	16	19	17	15	18	16	10	19	20	0	90.90%	97	89	91.36	3.5
29279	7	16	18	1	1	6	10	7	12	20	0	55.70%	62	40	50.67	0
29351	9	16	20	18	18	18	14	8	18	20	0	90.30%	73	69	78.34	2.4
29783	10	15	16	16	16	11	18	0	4	20	0	71.60%	55	34	53.24	0
29850	9	13	20	17	17	18	0	9	18	20	0	80.10%	74	60	70.85	1.8
30003	9	16	20	17	17	16	17	9	16	20	0	89.20%	92	77	84.88	3
30357	10	16	20	20	17	20	17	7	17	20	0	93.20%	97	100	96.67	3.9
30379	10	16	19	19	18	18	19	8	18	20	0.33	93.90%	82	95	91.98	3.6
30476	9	16	20	19	20	20	0	9	17	20	0	85.20%	88	85	85.69	3.1
30618	10	16	20	18	18	18	20	10	20	20	0	96.60%	100	99	98.24	4
30733	10	16	20	20	19	18	19	8	20	18	0	95.50%	92	94	94.18	3.8
30773	8	15	19	18	16	20	18	7	20	20	0	91.50%	96	82	88.59	3.3
30802	7	12	6	2	7	1	0	0	0	20	0	31.30%	57	24	33.5	0
30903	0	15	20	19	19	18	14	7	8	20	0	79.50%	94	80	82.62	2.8
30960	9	16	8	13	0	0	0	0	0	18	0.33	36.60%	51	20	32.82	0
30964	10	15	20	20	18	18	17	9	16	20	0	92.60%	94	91	92.25	3.6
30995	8	14	19	17	15	13	14	9	19	20	0	84.10%	85	68	77.84	2.4
31012	0	15	19	0	0	0	0	0	0	20	0	30.70%	75	0	27.27	0
31119	9	14	17	20	15	19	16	8	16	20	0	87.50%	89	66	79.2	2.5
31145	10	15	16	16	16	16	10	8	13	18	0	78.40%	61	43	60.76	0.9
31251	10	16	20	15	17	0	20	8	14	20	0	79.50%	84	74	78.22	2.4
31436	10	16	17	19	18	20	20	10	19	20	0	96.00%	96	90	93.61	3.8
31471	6	9	17	15	19	16	19	9	18	15	0	81.30%	49	35	56.3	0
31571	8	16	18	17	3	2	3	9	15	20	0	63.10%	47	50	54.63	0
31577	10	16	20	19	20	19	19	0	17	12	0	86.40%	98	89	89.75	3.4
31727	8	15	17	18	17	18	19	10	20	20	0	92.00%	89	89	90.22	3.5
31757	9	16	20	16	20	20	18	9	19	20	0	94.90%	101	92	94.95	3.9
31759	9	16	20	18	18	16	20	8	20	20	0.33	93.90%	86	91	91.18	3.6
31894	10	16	18	8	12	0	0	0	0	20	0	47.70%	73	22	42.49	0
31958	10	16	18	17	19	17	20	9	19	12	0	89.20%	97	96	93.48	3.8
32073	7	15	20	18	14	16	17	5	13	20	0	82.40%	69	69	74.35	2.1
32306	9	15	16	14	17	18	19	9	19	18	0	87.50%	94	80	85.8	3.1
32398	9	16	20	18	19	19	20	10	18	20	0	96.00%	100	90	94.41	3.8
32540	10	16	19	12	17	13	17	10	17	20	0.33	86.00%	75	68	76.59	2.3
32718	9	15	19	18	17	19	20	10	12	20	0	90.30%	92	84	88.14	3.3
32766	8	15	18	17	17	17	17	7	18	20	0	87.50%	79	82	83.6	2.9
32779	10	11	19	17	14	12	0	0	0	20	0	58.50%	75	34	52.01	0
32782	9	15	19	18	20	20	19	8	14	20	0	92.00%	93	91	91.82	3.6
32826	9	16	18	17	17	19	19	10	18	20	0	92.60%	94	90	91.85	3.6
32949	10	16	20	14	16	19	18	8	20	20	0	91.50%	90	86	88.99	3.4
33136	9	16	20	19	12	5	10	8	13	18	0	73.90%	68	53	64.35	1.2
33143	9	16	17	19	15	17	18	9	19	20	0	90.30%	91	90	90.34	3.5
33362	9	16	19	18	16	11	16	8	12	20	0	82.40%	80	65	74.95	2.1
33501	10	14	19	15	16	20	18	7	14	20	0.33	87.10%	82	56	73.65	2
33519	10	15	18	18	14	16	14	9	17	20	0	85.80%	93	91	89.32	3.4
33620	10	16	17	18	18	18	17	9	18	20	0	91.50%	84	59	76.99	2.3
33777	10	15	15	19	20	18	20	7	20	20	0	93.20%	90	67	82.07	2.8
34129	8	15	17	0	0	5	6	8	9	0	0	38.60%	49	17	32.05	0
35223	10	16	20	20	19	18	18	10	19	20	0	96.60%	101	89	94.44	3.8
35451	9	16	20	20	19	18	18	8	16	20	1	93.80%	79	70	81.3	2.7
35577	10	14	19	18	14	18	17	10	14	20	0	87.50%	74	47	68.6	1.6
35635	9	15	19	17	15	17	19	8	17	20	0	88.60%	96	86	89.05	3.4
35894	6	14	19	16	16	15	18	10	19	20	0	86.90%	80	71	79.17	2.5
36123	9	15	20	19	18	17	16	8	20	20	0	92.00%	82	74	82.82	2.8
36238	10	16	17	17	19	17	20	10	18	20	0	93.20%	84	72	82.87	2.8
36909	10	14	7	10	0	0	0	0	0	3	0	25.00%	31	0	16.2	0
36913	9	16	20	18	17	20	18	9	17	20	0	93.20%	66	64	76.07	2.2
37045	8	14	15	16	13	19	18	6	14	20	0	81.30%	57	53	65.1	1.3
37079	9	14	19	19	14	18	18	9	19	20	0	90.30%	77	74	81.14	2.7
37108	10	16	10	10	15	15	13	8	17	20	0	76.10%	93	84	82.65	2.8
37203	10	16	20	18	17	20	19	10	13	20	0	92.60%	100	101	97.45	4
37206	9	16	20	19	17	18	18	8	17	20	0.33	92.20%	89	69	82.29	2.8
37211	9	16	20	18	19	20	18	7	19	20	0	94.30%	90	80	87.73	3.3
37238	9	16	16	8	13	16	17	9	17	20	0	80.10%	84	77	79.65	2.6
37265	10	15	19	18	17	16	19	9	19	20	0	92.00%	79	85	86.62	3.2
37276	9	15	20	17	16	14	16	7	16	20	0	85.20%	97	83	86.69	3.2
37625	7	16	19	15	16	13	15	8	11	20	0	79.50%	75	59	70.42	1.8
38013	9	16	20	19	20	16	18	9	17	20	0	93.20%	88	83	88.07	3.3
38099	9	16	19	19	15	0	17	7	17	20	0	79.00%	73	68	73.39	2
38223	10	16	18	0	18	17	17	8	18	20	0	80.70%	93	97	89.67	3.4
38227	10	16	20	20	20	19	19	9	20	20	1	98.90%	97	89	94.55	3.8
38449	9	15	20	18	19	18	17	9	19	20	2.67	94.70%	91	93	93.28	3.7
38701	10	16	20	20	19	19	18	9	14	20	0	93.80%	99	86	91.7	3.6
38729	6	14	18	0	13	10	17	5	13	20	0	65.90%	64	43	56.36	0.5
38892	9	15	20	15	17	13	19	7	18	20	0	86.90%	85	88	86.97	3.2
38999	10	16	17	19	18	19	18	10	19	20	2.33	95.60%	94	76	87.46	3.2
39403	7	16	14	16	16	11	15	8	14	20	0.33	78.00%	97	91	87.01	3.2
39625	10	16	20	17	17	17	17	10	15	20	0	90.30%	89	76	84.34	3
39661	10	16	20	19	18	19	20	8	16	20	0	94.30%	95	90	92.73	3.7
39899	9	16	19	18	16	16	19	10	13	20	0	88.60%	86	75	82.65	2.8
39971	8	15	17	18	16	18	14	8	18	20	0	86.40%	92	89	88.55	3.3
40001	10	15	19	15	14	15	18	8	11	20	0	82.40%	93	85	85.55	3.1
40262	10	16	12	16	18	11	19	9	17	20	0.67	84.50%	87	70	79.19	2.5
40432	10	16	20	17	19	14	20	1	14	20	0	85.80%	78	75	79.92	2.6
40531	10	15	20	19	17	13	17	9	15	20	0	88.10%	89	76	83.43	2.9
40532	10	15	19	18	16	15	18	9	16	20	0	88.60%	85	78	83.65	2.9
40817	10	16	19	18	20	13	20	9	19	20	0	93.20%	86	75	84.47	3
41088	10	16	20	18	19	18	19	10	20	20	0	96.60%	91	91	93.24	3.7
41271	10	15	20	17	15	16	15	8	16	20	0	86.40%	93	74	82.75	2.8
41292	8	14	17	19	18	20	17	8	15	20	0	88.60%	73	73	79.25	2.5
41478	9	15	19	16	16	16	18	9	15	20	0	86.90%	95	90	89.77	3.4
41485	9	15	19	12	17	13	16	8	17	20	0	83.00%	77	67	75.38	2.2
41865	9	16	20	16	20	20	18	7	20	20	0	94.30%	99	88	92.73	3.7
41881	10	16	17	17	15	14	16	0	13	20	0	78.40%	72	70	73.76	2
42159	9	15	13	0	0	0	15	0	0	12	0	36.40%	34	19	28.95	0
42257	9	16	20	19	14	0	17	9	19	20	0	81.30%	84	81	81.7	2.7
42389	10	16	20	18	14	13	15	9	14	18	0	83.50%	94	66	78.61	2.5
42454	8	16	19	20	15	18	19	9	19	20	0	92.60%	98	85	90.65	3.5
42514	9	14	20	15	15	16	16	8	0	20	0	75.60%	93	74	78.43	2.4
42674	10	16	20	0	20	18	19	7	17	20	0	83.50%	86	79	82.21	2.8
42915	10	15	20	20	19	19	19	10	20	20	0	97.70%	99	85	92.89	3.7
43030	10	16	20	20	20	20	19	10	20	20	1	100.00%	99	91	96.2	3.9
43816	9	16	17	18	17	19	17	9	15	20	0	89.20%	74	74	80.08	2.6
43895	8	15	20	17	15	19	19	9	19	20	0	91.50%	85	83	86.79	3.2
43930	9	15	20	17	16	18	16	10	13	20	2.33	88.80%	61	22	56.53	0
43988	10	15	18	19	19	17	18	8	12	15	1.33	86.60%	72	57	71.82	1.9
43989	5	14	11	11	9	9	11	4	7	20	0	57.40%	79	44	56.35	0
44080	10	16	20	18	17	20	19	9	17	20	0	94.30%	101	84	91.53	3.6
44083	9	16	20	19	19	20	20	10	20	20	2	99.40%	99	86	93.97	3.8
44274	7	16	20	18	20	18	19	10	19	20	0	94.90%	86	75	85.15	3
44345	10	16	20	20	18	17	19	10	17	20	2	96.00%	101	92	95.41	3.9
44370	10	16	20	18	17	18	19	10	20	20	0	95.50%	96	85	91.38	3.5
44395	8	15	20	17	17	17	16	9	16	20	0	88.10%	79	54	72.63	1.9
44430	8	15	20	17	18	17	0	8	17	20	0	79.50%	81	79	79.62	2.6
44598	9	15	19	17	17	17	19	8	19	20	0	90.90%	78	77	82.76	2.8
44654	9	15	19	18	19	16	13	5	15	20	0	84.70%	68	49	67.06	1.5
44843	8	16	20	20	18	18	19	9	19	20	2.33	96.20%	99	98	97.48	4
44888	10	16	20	19	19	19	18	9	18	20	0.67	95.80%	86	77	86.33	3.1
45065	10	16	20	19	20	19	19	8	19	20	2.33	97.90%	101	101	99.77	4
45131	8	15	19	17	15	0	16	3	0	20	0.67	64.60%	63	20	46.43	0
45155	10	16	20	16	18	18	19	9	18	20	0	93.20%	100	99	96.87	4
45157	8	0	18	12	12	5	0	0	12	20	0	49.40%	74	45	52.57	0
45256	8	16	20	18	19	18	17	7	15	20	0	89.80%	94	92	91.51	3.6
45315	10	16	20	17	18	20	20	9	18	20	0	95.50%	100	98	97.38	4
45344	9	16	20	18	20	20	19	10	20	20	2.67	99.20%	98	93	96.5	3.9
45348	8	16	20	15	18	18	17	9	18	20	1	90.90%	84	85	87.16	3.2
45388	10	16	20	16	16	19	19	8	17	20	0.33	91.70%	65	61	74.07	2.1
45483	10	16	20	18	17	14	12	10	17	20	0	87.50%	57	52	67.2	1.5
45551	9	16	20	20	19	19	19	10	20	20	0.67	98.10%	94	99	97.64	4
45646	10	15	18	17	15	13	12	8	16	20	0	81.80%	65	35	59.73	0.8
45674	10	16	19	18	17	19	19	10	18	20	0	94.30%	96	99	96.53	3.9
45772	9	11	19	18	16	11	10	8	15	20	0	77.80%	77	64	72.14	1.9
45945	9	16	20	19	18	18	19	10	16	20	0	93.80%	91	64	81.3	2.7
45969	9	15	18	17	19	18	15	8	20	6	0.33	82.60%	93	74	81.23	2.7
46063	8	16	20	17	16	18	15	7	12	20	0	84.70%	98	84	87.06	3.2
46095	9	16	20	17	16	20	20	9	17	20	0.67	93.60%	79	72	82.02	2.8
46179	5	15	0	15	0	18	0	0	0	15	0	38.60%	37	0	22.85	0
46209	10	15	18	15	18	0	0	8	18	20	0	69.30%	93	96	84.73	3.7
46277	10	15	19	20	18	18	18	6	19	20	0	92.60%	89	97	93.65	3.8
46348	10	16	16	17	18	16	18	7	19	20	0	89.20%	95	81	87.08	3.2
46517	10	15	20	18	18	18	18	9	18	20	0	93.20%	94	87	90.87	3.5
46637	9	15	19	18	19	18	19	10	18	20	0	93.80%	84	84	87.9	3.3
46690	9	15	19	17	18	18	14	9	19	20	1.67	90.70%	77	76	82.09	2.8
46728	8	16	20	20	18	18	19	10	13	20	0	92.00%	92	86	89.62	3.4
46764	9	16	20	19	16	18	20	10	16	20	0	93.20%	91	89	91.07	3.5
46991	8	14	12	16	0	17	13	7	5	18	2.67	64.00%	73	47	59.01	0.8
47145	6	10	6	2	0	0	0	0	0	9	0	18.80%	65	22	29.3	0
47204	7	14	20	19	19	19	18	9	17	20	1.67	93.00%	99	91	93.4	3.7
47208	9	15	16	0	0	0	0	0	0	12	0	29.50%	65	22	33.62	0
47265	10	16	20	19	18	19	20	9	18	20	1.33	96.80%	99	101	98.91	4
47388	10	15	17	17	16	15	18	9	16	20	0	86.90%	74	89	85.17	3
47510	7	12	16	18	6	0	0	0	3	12	0	42.00%	73	46	49.82	0
47512	10	16	20	15	16	17	18	9	18	20	0	90.30%	97	89	91.14	3.5
47742	8	16	18	17	18	16	18	0	14	20	0	82.40%	94	80	83.75	2.9
47805	10	16	20	20	19	16	16	10	17	20	0	93.20%	78	85	86.87	3.2
47895	7	16	19	17	19	17	18	9	15	20	0	89.20%	70	64	75.28	2.2
47925	8	16	19	0	18	17	18	10	15	20	0	80.10%	94	71	79.25	2.5
47937	10	15	18	19	18	16	18	9	18	20	0	91.50%	94	81	87.79	3.3
47953	6	16	20	15	19	17	17	8	12	20	0	85.20%	84	61	75.29	2.2
47955	7	15	20	20	19	17	14	8	15	20	0	88.10%	85	90	88.23	3.3
47979	7	15	19	20	17	20	18	9	19	20	1.33	93.90%	89	78	86.58	3.2
48082	10	16	20	18	19	18	19	9	21	20	0	96.60%	101	98	98.04	4
48083	10	16	20	19	19	18	20	10	19	20	0	97.20%	82	79	86.86	3.2
48085	10	15	20	17	18	16	19	9	17	20	0	91.50%	101	93	93.99	3.8
48101	8	16	20	18	19	11	19	9	16	20	0	88.60%	89	70	81.25	2.7
48109	9	16	17	16	15	17	17	8	19	20	0	87.50%	93	89	89.2	3.4
48137	10	16	18	16	16	16	12	9	8	20	0	80.10%	63	56	67.05	1.5
48229	10	16	19	17	18	20	18	8	19	20	0	93.80%	75	56	74.9	2.1
48906	8	16	17	17	18	13	13	9	16	20	0	83.50%	89	81	83.61	2.9
48970	10	16	20	20	19	18	19	10	20	20	0.67	98.10%	95	100	98.24	4
48975	10	16	20	19	19	20	20	10	18	20	1	98.30%	93	90	93.92	3.8
49018	7	15	18	15	17	16	10	5	17	15	0	76.70%	75	69	73.28	2
49037	10	15	14	15	15	16	15	7	14	20	1.33	80.90%	86	82	82.35	2.8
49045	9	15	20	20	20	19	18	10	16	20	0	94.90%	77	85	87.35	3.2
49092	8	15	18	18	19	18	18	9	19	20	0	92.00%	85	50	73.82	2.1
49094	8	15	19	11	16	16	17	6	17	20	0	82.40%	81	76	79.55	2.5
49110	10	16	20	18	18	20	19	10	17	20	0	95.50%	97	96	95.98	3.9
49154	10	15	20	19	13	14	20	10	20	20	0	91.50%	84	72	82.19	2.8
